id;nome_carteira_cliente;saldo_consolidado;tipo_indicador_saldo;indicador_bloqueio;data_hora_cadastro;colaborador_cadastro;data_hora_atualizacao;colaborador_atualizacao
1;jade Riyal;6368;NEGATIVO;true;2022-05-05T16:47:46;Música SCSI overriding;2022-05-05T04:48:38;virtual
2;Rodovia collaboration;55039;NEGATIVO;false;2022-05-05T19:09:58;Pequeno interface;2022-05-05T03:09:59;âmbar
3;Costa models Atum;83683;POSITIVO;false;2022-05-05T06:51:00;Account Liaison;2022-05-05T19:09:10;intranet Algodão benchmark
4;deposit navigating;97940;POSITIVO;true;2022-05-05T03:33:17;Checking Hungria Sergipe;2022-05-05T14:25:15;Rodovia
5;input bus Incrível;86736;NEGATIVO;true;2022-05-05T14:09:57;communities;2022-05-05T12:35:38;Product Open-source archive
6;morph;47228;POSITIVO;false;2022-05-05T01:37:04;Designer;2022-05-05T17:09:38;withdrawal intranet
7;Designer;5118;NEGATIVO;true;2022-05-05T03:45:19;Programmable optical Suazilândia;2022-05-04T23:42:14;matrix pricing
8;Congelado compelling success;4719;NEGATIVO;false;2022-05-05T04:35:06;Sapatos JSON;2022-05-05T03:37:57;extranet Alameda
9;calculating;7046;POSITIVO;true;2022-05-04T23:51:42;Principal vertical;2022-05-05T17:03:37;client-driven Specialist Marks
10;Coordinator;15409;NEGATIVO;false;2022-05-05T05:59:47;holistic Congelado;2022-05-05T07:13:31;incubate Planner
